Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD
1,Miami Dolphins,16,342,581,58.9,4353,27,4.6,18,3.1,80,7.9,7.4,13.3,272.1,86.4,30,211,4.9,7.1,6.7,3,3
2,San Francisco 49ers,16,354,524,67.6,4302,29,5.5,17,3.2,80,8.5,8.2,12.7,268.9,98.9,35,178,6.3,7.7,7.4,,
3,Houston Oilers,16,357,614,58.1,3866,23,3.7,25,4.1,80,6.8,5.7,11.6,241.6,74.2,43,279,6.5,5.9,4.9,1,1
4,Denver Broncos,16,350,553,63.3,3768,27,4.9,10,1.8,63,7.3,7.5,11.6,235.5,94.2,39,293,6.6,6.4,6.5,1,1
5,Los Angeles Raiders,16,281,495,56.8,3589,17,3.4,14,2.8,74,7.8,7.3,13.8,224.3,81.7,50,293,9.2,6.6,6.1,4,4
6,Atlanta Falcons,16,334,573,58.3,3520,28,4.9,25,4.4,98,6.6,5.6,11.3,220.0,76.3,40,267,6.5,5.7,4.8,2,2
7,Dallas Cowboys,16,317,475,66.7,3454,18,3.8,6,1.3,86,7.6,7.8,11.4,215.9,96.8,29,163,5.8,6.9,7.0,0,1
8,Indianapolis Colts,16,332,594,55.9,3417,10,1.7,15,2.5,72,6.1,5.3,10.9,213.6,69.2,29,206,4.7,5.5,4.7,2,4
9,Phoenix Cardinals,16,310,522,59.4,3404,21,4.0,20,3.8,65,7.0,6.0,11.7,212.8,78.0,33,231,5.9,6.1,5.3,1,1
10,New York Jets,16,294,489,60.1,3332,16,3.3,12,2.5,77,7.1,6.7,11.9,208.3,82.6,21,160,4.1,6.5,6.1,,
11,Buffalo Bills,16,304,497,61.2,3317,20,4.0,18,3.6,65,7.1,6.3,11.6,207.3,81.0,31,218,5.9,6.3,5.5,4,5
12,New England Patriots,16,289,566,51.1,3285,17,3.0,24,4.2,82,6.0,4.7,11.8,205.3,62.1,23,127,3.9,5.6,4.3,3,3
13,Pittsburgh Steelers,16,299,540,55.4,3232,16,3.0,12,2.2,71,6.7,6.3,12.1,202.0,76.7,48,374,8.2,5.5,5.1,2,2
14,Minnesota Vikings,16,315,526,59.9,3200,18,3.4,14,2.7,58,6.4,5.9,10.7,200.0,79.1,35,181,6.2,5.7,5.2,2,3
15,Kansas City Chiefs,16,287,490,58.6,3180,20,4.1,10,2.0,66,6.9,6.8,11.8,198.8,84.8,35,204,6.7,6.1,6.0,2,2
16,Philadelphia Eagles,16,328,556,59.0,3161,23,4.1,13,2.3,80,6.2,6.0,10.6,197.6,81.2,42,302,7.0,5.3,5.1,4,4
17,San Diego Chargers,16,301,563,53.5,3143,18,3.2,14,2.5,66,6.0,5.5,11.2,196.4,72.0,32,240,5.4,5.3,4.8,4,4
18,Green Bay Packers,16,322,528,61.0,3131,19,3.6,24,4.5,66,6.3,5.0,10.3,195.7,72.2,30,199,5.4,5.6,4.4,3,3
19,Cleveland Browns,16,262,478,54.8,3039,23,4.8,19,4.0,62,7.0,6.1,12.7,189.9,76.2,45,289,8.6,5.8,5.1,1,1
20,Tampa Bay Buccaneers,16,262,508,51.6,3021,19,3.7,25,4.9,67,6.5,5.0,12.6,188.8,64.1,39,274,7.1,5.5,4.2,,
21,New Orleans Saints,16,274,481,57.0,2941,18,3.7,21,4.4,63,6.6,5.4,11.6,183.8,71.4,40,242,7.7,5.6,4.5,1,5
22,New York Giants,16,257,424,60.6,2935,17,4.0,9,2.1,62,7.5,7.3,12.4,183.4,88.4,40,245,8.6,6.3,6.2,3,3
23,Los Angeles Rams,16,247,473,52.2,2790,16,3.4,19,4.0,60,6.4,5.3,12.2,174.4,66.8,31,231,6.2,5.5,4.5,1,1
24,Detroit Lions,16,264,435,60.7,2714,15,3.4,19,4.4,93,6.8,5.5,11.1,169.6,74.1,46,229,9.6,5.6,4.5,3,6
25,Seattle Seahawks,16,280,498,56.2,2654,13,2.6,18,3.6,53,5.8,4.7,10.3,165.9,66.8,48,242,8.8,4.9,3.9,1,1
26,Washington Redskins,16,287,533,53.8,2545,11,2.1,21,3.9,54,5.2,3.8,9.6,159.1,59.0,40,219,7.0,4.4,3.2,1,1
27,Cincinnati Bengals,16,272,510,53.3,2541,11,2.2,11,2.2,51,5.5,5.0,10.4,158.8,67.9,53,289,9.4,4.5,4.0,1,1
28,Chicago Bears,16,230,388,59.3,2040,7,1.8,16,4.1,48,5.9,4.4,9.9,127.5,64.7,48,230,11.0,4.7,3.3,1,1
