Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,EXP
1,New Orleans Saints,16,423,671,63.0,4997,43,6.4,19,2.8,80,7.7,7.7,12.3,312.3,96.4,26,190,3.7,7.2,7.2,1,2,102.68
2,Detroit Lions,16,445,740,60.1,4927,22,3.0,17,2.3,57,6.9,6.5,11.5,307.9,81.5,29,212,3.8,6.4,6.0,3,3,1.85
3,Dallas Cowboys,16,434,658,66.0,4729,29,4.4,19,2.9,85,7.6,7.2,11.5,295.6,91.3,36,263,5.2,6.8,6.4,5,5,61.50
4,New England Patriots,16,402,641,62.7,4662,34,5.3,9,1.4,83,7.6,8.0,12.0,291.4,97.7,27,182,4.0,7.0,7.4,1,2,190.90
5,Denver Broncos,16,402,588,68.4,4534,37,6.3,11,1.9,71,7.9,8.4,11.6,283.4,105.3,21,137,3.4,7.4,7.8,3,3,172.72
6,Atlanta Falcons,16,422,615,68.6,4509,32,5.2,14,2.3,80,7.7,7.7,11.2,281.8,99.1,28,210,4.4,7.0,7.0,4,6,117.46
7,Indianapolis Colts,16,339,628,54.0,4128,23,3.7,18,2.9,70,7.0,6.4,12.9,258.0,76.4,41,246,6.1,6.2,5.6,4,7,-10.93
8,Oakland Raiders,16,376,629,59.8,4084,24,3.8,16,2.5,64,6.8,6.4,11.4,255.3,82.4,27,208,4.1,6.2,5.9,2,2,-17.81
9,Green Bay Packers,16,374,558,67.0,4049,40,7.2,8,1.4,73,7.8,8.6,11.6,253.1,108.3,51,293,8.4,6.6,7.4,2,3,88.15
10,Tampa Bay Buccaneers,16,311,566,54.9,3983,27,4.8,17,3.0,95,7.3,6.9,13.3,248.9,81.8,26,161,4.4,6.7,6.3,1,1,2.82
11,Houston Texans,16,354,554,63.9,3830,22,4.0,13,2.3,60,7.3,7.0,11.4,239.4,89.2,28,216,4.8,6.6,6.3,2,2,65.61
12,New York Giants,16,323,539,59.9,3825,26,4.8,15,2.8,80,7.4,7.1,12.3,239.1,87.2,20,142,3.6,6.8,6.6,3,3,34.43
13,Philadelphia Eagles,16,367,618,59.4,3791,18,2.9,15,2.4,77,6.6,6.1,11.1,236.9,78.6,48,284,7.2,5.7,5.2,4,4,-88.31
14,Pittsburgh Steelers,16,354,574,61.7,3787,27,4.7,14,2.4,82,7.0,6.8,11.3,236.7,88.1,37,225,6.1,6.2,6.1,3,4,1.60
15,Baltimore Ravens,16,334,560,59.6,3739,22,3.9,11,2.0,61,7.1,7.0,12.0,233.7,86.4,38,257,6.4,6.3,6.2,3,3,84.85
16,Carolina Panthers,16,284,490,58.0,3683,19,3.9,12,2.4,82,8.0,7.7,13.8,230.2,86.5,36,244,6.8,7.0,6.7,1,1,50.12
17,Cincinnati Bengals,16,335,540,62.0,3578,28,5.2,16,3.0,73,7.1,6.8,11.4,223.6,88.1,46,229,7.8,6.1,5.8,2,4,-44.25
18,St. Louis Rams,16,332,557,59.6,3550,22,3.9,14,2.5,80,6.8,6.5,11.4,221.9,82.7,35,233,5.9,6.0,5.7,4,3,-53.35
19,Cleveland Browns,16,328,566,58.0,3435,16,2.8,18,3.2,71,6.5,5.6,11.2,214.7,73.5,36,233,6.0,5.7,4.9,1,1,-72.74
20,Washington Redskins,16,291,442,65.8,3422,24,5.4,8,1.8,88,8.3,8.6,12.6,213.9,102.1,33,244,6.9,7.2,7.5,4,3,42.35
21,Jacksonville Jaguars,16,328,586,56.0,3419,20,3.4,17,2.9,81,6.4,5.8,11.4,213.7,74.7,50,327,7.9,5.4,4.8,1,1,-121.73
22,Tennessee Titans,16,318,540,58.9,3323,17,3.1,16,3.0,71,6.6,5.9,11.2,207.7,76.9,39,254,6.7,5.7,5.1,2,3,-48.58
23,San Francisco 49ers,16,289,436,66.3,3298,23,5.3,8,1.8,57,8.1,8.4,12.3,206.1,101.2,41,253,8.6,6.9,7.1,1,1,31.69
24,San Diego Chargers,16,338,528,64.0,3295,26,4.9,15,2.8,80,6.8,6.5,10.7,205.9,88.5,49,311,8.5,5.7,5.4,,,-19.70
25,Buffalo Bills,16,309,511,60.5,3269,24,4.7,17,3.3,68,6.7,6.2,11.1,204.3,82.2,30,161,5.5,6.0,5.5,0,1,-44.82
26,Miami Dolphins,16,293,504,58.1,3182,13,2.6,13,2.6,80,6.8,6.2,11.7,198.9,76.7,37,243,6.8,5.9,5.3,1,1,-16.92
27,Seattle Seahawks,16,259,405,64.0,3031,27,6.7,10,2.5,67,8.0,8.2,12.5,189.4,100.6,33,203,7.5,6.9,7.1,3,4,56.49
28,Arizona Cardinals,16,337,608,55.4,3005,11,1.8,21,3.5,53,5.6,4.4,10.0,187.8,63.1,58,378,8.7,4.5,3.4,3,3,-197.65
29,Chicago Bears,16,287,485,59.2,2999,21,4.3,16,3.3,60,6.8,6.2,11.5,187.4,80.4,44,299,8.3,5.7,5.1,1,1,-20.74
30,New York Jets,16,272,493,55.2,2891,14,2.8,19,3.9,66,6.4,5.3,11.7,180.7,68.3,47,287,8.7,5.4,4.3,2,2,-97.34
31,Minnesota Vikings,16,300,483,62.1,2751,18,3.7,12,2.5,65,6.1,5.7,9.8,171.9,81.2,32,184,6.2,5.3,5.0,1,2,-31.08
32,Kansas City Chiefs,16,273,475,57.5,2713,8,1.7,20,4.2,57,6.2,4.6,10.8,169.6,63.8,40,224,7.8,5.3,3.8,1,1,-137.23
