Rk,Year,Age,Tm,Pos,No.,G,GS,Att,RushYds,TD,Lng,Y/A,Y/G,A/G,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Touch,Y/Tch,YScm,Name
1,1978,25,CHI,RB,34,16,16,333,1395,11,76,4.2,87.2,20.8,50,480,9.6,0,61,3.1,30.0,383,4.9,1875,Walter Payton
2,1978,28,PIT,FB,32,16,16,310,1082,8,37,3.5,67.6,19.4,22,144,6.5,0,15,1.4,9.0,332,3.7,1226,Franco Harris
3,1978,23,HOU,RB,34,15,14,302,1450,13,81,4.8,96.7,20.1,12,48,4.0,0,20,0.8,3.2,314,4.8,1498,Earl Campbell
4,1978,24,DAL,RB,33,16,15,290,1325,7,63,4.6,82.8,18.1,37,378,10.2,2,91,2.3,23.6,327,5.2,1703,Tony Dorsett
5,1978,23,GNB,RB,34,16,16,284,1116,11,76,3.9,69.8,17.8,34,332,9.8,1,50,2.1,20.8,318,4.6,1448,Terdell Middleton
6,1978,27,MIA,RB,24,16,15,272,1258,8,58,4.6,78.6,17.0,18,192,10.7,0,42,1.1,12.0,290,5.0,1450,Delvin Williams
7,1978,26,OAK,FB,30,16,16,270,1080,9,34,4.0,67.5,16.9,27,291,10.8,0,33,1.7,18.2,297,4.6,1371,Mark van Eeghen
8,1978,24,PHI,RB,31,14,14,259,1220,9,47,4.7,87.1,18.5,34,195,5.7,1,23,2.4,13.9,293,4.8,1415,Wilbert Montgomery
9,1978,29,WAS,FB,44,15,15,248,1014,5,31,4.1,67.6,16.5,31,299,9.6,0,33,2.1,19.9,279,4.7,1313,John Riggins
10,1978,25,CHI,FB,35,16,16,240,992,6,31,4.1,62.0,15.0,43,340,7.9,2,33,2.7,21.3,283,4.7,1332,Roland Harper
