Rk,Year,Age,Tm,Pos,No.,G,GS,Att,RushYds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,Name
1,2020,26,TEN,RB,22,16,16,378,2027,17,98,56.6,94,5.4,126.7,23.6,31,19,114,6.0,0,4,32.3,53,1.2,7.1,61.3%,3.7,397,5.4,2141,Derrick Henry
2,2020,25,MIN,RB,33,14,14,312,1557,16,91,54.5,70,5.0,111.2,22.3,54,44,361,8.2,1,17,44.4,50,3.1,25.8,81.5%,6.7,356,5.4,1918,Dalvin Cook
3,2020,22,LVR,RB,28,15,15,273,1065,12,61,50.2,28,3.9,71.0,18.2,45,33,238,7.2,0,9,46.7,29,2.2,15.9,73.3%,5.3,306,4.3,1303,Josh Jacobs
4,2020,23,CHI,RB,32,15,14,247,1070,8,59,46.2,80,4.3,71.3,16.5,68,54,438,8.1,2,25,55.9,28,3.6,29.2,79.4%,6.4,301,5.0,1508,David Montgomery
5,2020,25,DAL,RB,21,15,15,244,979,6,62,49.6,31,4.0,65.3,16.3,71,52,338,6.5,2,20,52.1,19,3.5,22.5,73.2%,4.8,296,4.4,1317,Ezekial Elliott
6,2020,22,JAX,RB,30,14,14,240,1070,7,54,49.6,47,4.5,76.4,17.1,60,49,344,7.0,3,15,48.3,28,3.5,24.6,81.7%,5.7,289,4.9,1414,James Robinson
7,2020,26,ARI,RB,41,15,13,239,955,10,59,48.5,69,4.0,63.7,15.9,31,25,137,5.5,0,5,48.4,18,1.7,9.1,80.6%,4.4,264,4.1,1092,Kenyan Drake
8,2020,21,IND,RB,28,15,13,232,1169,11,69,52.2,62,5.0,77.9,15.5,39,36,299,8.3,1,12,51.3,39,2.4,19.9,92.3%,7.7,268,5.5,1468,Jonathon Taylor
9,2020,27,DEN,RB,25,15,10,215,986,9,46,44.2,65,4.6,65.7,14.3,44,32,158,4.9,1,7,29.5,20,2.1,10.5,72.7%,3.6,247,4.6,1144,Melvin Gordon
10,2020,26,GNB,RB,33,14,14,201,1104,9,52,55.7,77,5.5,78.9,14.4,63,47,355,7.6,2,15,49.2,30,3.4,25.4,74.6%,5.6,248,5.9,1459,Aaron Jones
