Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb
1,Miami Dolphins,14,486,2429,11,51,5.0,173.5,22
2,Detroit Lions,14,532,2376,15,52,4.5,169.7,35
3,Dallas Cowboys,14,512,2249,25,56,4.4,160.6,30
4,Green Bay Packers,14,500,2229,18,52,4.5,159.2,29
5,Baltimore Colts,14,512,2149,23,67,4.2,153.5,26
6,Cincinnati Bengals,14,462,2142,14,86,4.6,153.0,29
7,Los Angeles Rams,14,460,2139,15,80,4.7,152.8,32
8,Oakland Raiders,14,473,2130,19,39,4.5,152.1,26
9,San Francisco 49ers,14,498,2129,12,49,4.3,152.1,33
10,Denver Broncos,14,512,2093,9,40,4.1,149.5,25
11,New York Jets,14,485,1888,12,63,3.9,134.9,30
12,Kansas City Chiefs,14,487,1843,14,27,3.8,131.6,23
13,Pittsburgh Steelers,14,416,1758,10,39,4.2,125.6,37
14,Washington Redskins,14,477,1757,8,57,3.7,125.5,32
15,New Orleans Saints,14,452,1711,18,39,3.8,122.2,29
16,Atlanta Falcons,14,494,1703,12,27,3.4,121.6,39
17,Minnesota Vikings,14,484,1695,14,73,3.5,121.1,25
18,New England Patriots,14,419,1669,7,50,4.0,119.2,26
19,San Diego Chargers,14,390,1604,11,54,4.1,114.6,30
20,Cleveland Browns,14,461,1558,19,35,3.4,111.3,29
21,St. Louis Cardinals,14,417,1530,8,40,3.7,109.3,35
22,New York Giants,14,394,1461,11,37,3.7,104.4,37
23,Chicago Bears,14,365,1434,6,40,3.9,102.4,28
24,Buffalo Bills,14,320,1337,6,46,4.2,95.5,33
25,Philadelphia Eagles,14,407,1248,6,39,3.1,89.1,21
26,Houston Oilers,14,361,1106,10,31,3.1,79.0,24
