Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb,EXP
1,Minnesota Vikings,16,473,2507,26,85,5.3,156.7,40,77.48
2,Miami Dolphins,16,530,2502,24,63,4.7,156.4,28,-6.24
3,Kansas City Chiefs,16,462,2378,26,56,5.1,148.6,7,65.70
4,Atlanta Falcons,16,523,2368,23,59,4.5,148.0,24,5.76
5,Denver Broncos,16,457,2266,21,59,5.0,141.6,21,35.83
6,San Francisco 49ers,16,489,2244,16,40,4.6,140.3,15,42.80
7,Philadelphia Eagles,16,489,2220,15,57,4.5,138.8,28,6.84
8,San Diego Chargers,16,466,2137,19,76,4.6,133.6,16,23.47
9,Pittsburgh Steelers,16,512,2120,15,42,4.1,132.5,26,-18.19
10,Jacksonville Jaguars,16,455,2089,19,62,4.6,130.6,12,1.47
11,Tennessee Titans,16,511,1952,16,39,3.8,122.0,20,-29.19
12,Green Bay Packers,16,451,1933,12,43,4.3,120.8,28,-30.52
13,Washington Redskins,16,442,1889,10,33,4.3,118.1,34,-27.67
14,New York Giants,16,486,1875,14,70,3.9,117.2,31,-85.49
15,Arizona Cardinals,16,414,1823,10,58,4.4,113.9,26,-20.35
16,Baltimore Ravens,16,427,1792,9,75,4.2,112.0,34,-25.30
17,New Orleans Saints,16,426,1764,16,62,4.1,110.3,29,-12.64
18,Oakland Raiders,16,414,1762,21,36,4.3,110.1,24,24.47
19,Dallas Cowboys,16,423,1754,7,46,4.1,109.6,33,-59.27
20,Seattle Seahawks,16,430,1740,17,58,4.0,108.8,23,0.54
21,Cincinnati Bengals,16,426,1730,13,67,4.1,108.1,26,5.02
22,New York Jets,16,400,1618,12,61,4.0,101.1,16,-22.47
23,Cleveland Browns,16,406,1615,10,64,4.0,100.9,18,-32.91
24,Buffalo Bills,16,388,1596,17,34,4.1,99.8,29,-32.82
25,Carolina Panthers,16,452,1586,11,59,3.5,99.1,28,-84.71
26,Indianapolis Colts,16,434,1561,12,49,3.6,97.6,26,-15.10
27,Tampa Bay Buccaneers,16,414,1557,6,59,3.8,97.3,24,-58.50
28,New England Patriots,16,395,1508,9,45,3.8,94.3,24,-16.19
29,Detroit Lions,16,358,1477,9,40,4.1,92.3,14,-26.16
30,St. Louis Rams,16,343,1405,11,44,4.1,87.8,29,-39.49
31,Houston Texans,16,424,1347,6,37,3.2,84.2,34,-86.58
32,Chicago Bears,16,382,1344,8,34,3.5,84.0,29,-56.06
