This is file 2011Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb,EXP
1,Denver Broncos,16,546,2632,11,60,4.8,164.5,30,-61.54
2,Houston Texans,16,546,2448,18,56,4.5,153.0,20,-72.18
3,Carolina Panthers,16,445,2408,26,74,5.4,150.5,13,37.84
4,Minnesota Vikings,16,448,2318,18,67,5.2,144.9,20,28.20
5,Philadelphia Eagles,16,450,2276,20,60,5.1,142.3,23,-0.72
6,New Orleans Saints,16,431,2127,16,36,4.9,132.9,6,-23.63
7,Oakland Raiders,16,466,2110,16,70,4.5,131.9,16,-108.61
8,San Francisco 49ers,16,498,2044,14,55,4.1,127.8,14,-127.36
9,Chicago Bears,16,456,2015,10,46,4.4,125.9,26,-61.08
10,Baltimore Ravens,16,459,1996,15,70,4.3,124.8,24,-81.41
11,Miami Dolphins,16,469,1987,11,76,4.2,124.2,28,-90.70
12,Jacksonville Jaguars,16,489,1970,9,56,4.0,123.1,27,-90.59
13,Buffalo Bills,16,391,1921,12,80,4.9,120.1,16,-41.10
14,Pittsburgh Steelers,16,434,1903,13,76,4.4,118.9,16,-64.68
15,Kansas City Chiefs,16,487,1893,5,34,3.9,118.3,17,-101.78
16,San Diego Chargers,16,436,1864,16,41,4.3,116.5,19,-71.85
17,Atlanta Falcons,16,453,1834,14,81,4.0,114.6,12,-71.79
18,Dallas Cowboys,16,408,1807,5,91,4.4,112.9,24,-93.14
19,Cincinnati Bengals,16,455,1778,10,42,3.9,111.1,17,-73.42
20,New England Patriots,16,438,1764,18,33,4.0,110.3,13,-79.76
21,Seattle Seahawks,16,444,1756,15,48,4.0,109.8,22,-63.97
22,New York Jets,16,443,1692,14,31,3.8,105.8,25,-46.97
23,St. Louis Rams,16,409,1667,7,47,4.1,104.2,27,-61.75
24,Arizona Cardinals,16,389,1625,12,71,4.2,101.6,24,-37.19
25,Washington Redskins,16,400,1614,8,39,4.0,100.9,25,-90.22
26,Indianapolis Colts,16,382,1594,8,80,4.2,99.6,24,-63.82
27,Green Bay Packers,16,395,1558,12,47,3.9,97.4,15,-74.56
28,Cleveland Browns,16,415,1531,4,40,3.7,95.7,22,-87.66
29,Detroit Lions,16,356,1523,9,88,4.3,95.2,20,-54.04
30,Tampa Bay Buccaneers,16,346,1458,9,54,4.2,91.1,30,-59.77
31,Tennessee Titans,16,376,1438,8,48,3.8,89.9,17,-74.84
32,New York Giants,16,411,1427,17,37,3.5,89.2,18,-136.24
